Month,Day,Year,Hour,Minute,Time,Sun House,Moon House,Mercury House,Venus House,Mars House,Jupiter House,Saturn House,Uranus House,Neptune House
11,4,1929,15,54,954,7,9,7,7,8,3,9,12,12
11,4,1929,17,27,1047,7,8,6,6,7,2,8,12,12
11,4,1929,11,37,697,10,11,9,9,10,5,11,3,3
11,4,1929,21,19,1279,5,6,4,4,5,12,6,10,10
11,4,1929,17,17,1037,7,8,6,6,7,2,8,12,12
11,4,1929,20,36,1236,5,6,5,4,5,12,7,10,10
11,4,1929,6,32,392,12,1,12,11,1,7,2,5,5
11,4,1929,12,43,763,9,10,9,8,9,4,11,2,2
11,4,1929,3,27,207,2,3,1,1,2,9,3,7,7
11,4,1929,0,30,30,3,4,3,2,3,10,5,8,8
11,4,1929,4,39,279,1,2,1,12,1,8,3,6,6
11,4,1929,17,12,1032,7,8,6,6,7,2,8,12,12
12,27,1929,16,28,988,7,6,8,7,7,12,7,10,10
12,27,1929,10,4,604,11,9,11,10,10,4,11,2,2
12,27,1929,9,57,597,11,9,11,10,10,4,11,2,2
12,27,1929,0,50,50,3,2,4,3,3,8,3,6,6
12,27,1929,21,30,1290,5,4,5,4,5,10,5,8,8
12,27,1929,17,20,1040,7,5,7,6,6,12,7,10,10
12,27,1929,0,45,45,3,2,4,3,3,8,3,6,6
12,27,1929,20,24,1224,5,4,6,5,5,10,5,8,8
12,27,1929,19,54,1194,6,4,6,5,5,11,5,9,9
12,27,1929,14,28,868,8,7,9,8,8,1,8,11,11
12,27,1929,23,53,1433,4,2,4,3,3,9,4,7,7
12,27,1929,5,53,353,1,11,1,12,1,6,1,4,4
11,25,1929,22,45,1365,4,2,4,3,4,10,5,8,8
11,25,1929,5,51,351,1,10,1,12,1,7,2,5,5
11,25,1929,9,33,573,11,8,11,10,11,5,12,3,3
11,25,1929,20,30,1230,5,3,5,5,5,11,6,9,9
11,25,1929,3,12,192,2,11,2,1,2,8,3,6,6
11,25,1929,11,43,703,10,7,10,9,10,4,11,2,2
11,25,1929,1,5,65,3,12,3,2,3,9,4,7,7
11,25,1929,18,46,1126,6,4,6,5,6,12,7,10,10
11,25,1929,7,41,461,12,9,12,11,12,6,1,4,4
11,25,1929,21,49,1309,5,2,4,4,5,11,5,9,9
11,25,1929,13,24,804,9,7,9,8,9,3,10,1,1
11,25,1929,14,50,890,8,6,8,7,8,2,9,12,12
2,9,1929,23,0,1380,4,4,4,6,8,7,2,6,6
2,9,1929,13,57,837,9,9,9,10,12,11,7,10,10
2,9,1929,0,36,36,3,3,3,5,7,6,2,5,5
2,9,1929,6,58,418,12,12,12,2,4,2,10,2,2
2,9,1929,14,45,885,8,8,8,10,12,11,6,10,10
2,9,1929,15,36,936,8,8,8,9,12,10,6,9,9
