Month,Day,Year,Hour,Minute,Time,Sun House,Moon House,Mercury House,Venus House,Mars House,Jupiter House,Saturn House,Uranus House,Neptune House
12,24,1889,3,38,218,2,3,2,2,12,3,10,12,7
12,24,1889,20,48,1248,5,6,6,5,3,6,1,3,10
12,24,1889,15,28,928,8,9,8,7,6,8,4,6,1
12,24,1889,5,24,324,1,2,2,1,11,2,9,11,6
12,24,1889,10,24,624,11,12,11,10,8,11,7,8,3
12,24,1889,22,0,1320,5,6,5,4,2,5,1,2,10
12,24,1889,4,7,247,2,2,2,1,11,2,10,11,7
12,24,1889,15,40,940,8,9,8,7,6,8,4,6,1
12,24,1889,3,47,227,2,3,2,2,12,2,10,12,7
12,24,1889,12,4,724,10,11,10,9,7,10,6,7,3
12,24,1889,11,29,689,10,11,10,10,8,11,6,8,3
12,24,1889,0,24,24,4,4,4,3,1,4,12,1,9
8,19,1889,18,6,1086,7,4,7,5,6,11,7,8,4
8,19,1889,13,46,826,9,6,9,8,8,1,9,11,6
8,19,1889,5,49,349,1,10,1,11,12,5,1,3,10
8,19,1889,10,0,600,11,8,11,9,10,3,11,12,8
8,19,1889,12,39,759,9,7,10,8,9,2,9,11,7
8,19,1889,5,37,337,1,10,1,11,12,5,1,3,10
8,19,1889,10,44,644,10,8,11,9,10,2,10,12,8
8,19,1889,22,29,1349,5,2,5,3,4,8,5,6,2
8,19,1889,21,11,1271,5,2,6,4,5,9,5,7,2
8,19,1889,23,52,1432,4,1,4,2,3,8,4,5,1
8,19,1889,22,4,1324,5,2,5,3,4,9,5,6,2
8,19,1889,12,14,734,10,7,10,8,9,2,10,11,7
12,10,1889,21,19,1279,5,12,5,4,3,6,2,3,10
12,10,1889,6,31,391,1,8,1,12,10,1,9,11,6
12,10,1889,16,11,971,7,3,8,7,6,8,4,6,1
12,10,1889,6,42,402,1,8,1,12,10,1,9,11,6
12,10,1889,4,40,280,1,8,2,1,11,2,10,12,7
12,10,1889,0,28,28,3,10,4,3,1,4,12,2,9
12,10,1889,4,47,287,1,8,1,1,11,2,10,12,7
12,10,1889,14,11,851,9,4,9,8,7,9,5,7,2
12,10,1889,18,55,1135,6,1,6,6,4,7,3,4,12
12,10,1889,17,8,1028,7,2,7,6,5,8,4,5,12
12,10,1889,10,40,640,10,6,10,10,8,11,7,9,4
12,10,1889,9,18,558,11,6,11,11,9,12,8,9,5
3,31,1889,20,47,1247,5,5,5,7,6,2,10,12,7
3,31,1889,13,25,805,9,9,8,10,10,6,1,3,11
3,31,1889,9,3,543,11,11,11,12,12,8,3,6,1
3,31,1889,23,1,1381,4,4,4,6,5,1,9,11,6
3,31,1889,16,0,960,8,8,7,9,8,5,12,2,9
3,31,1889,14,4,844,9,9,8,10,9,6,1,3,10
3,31,1889,15,21,921,8,8,7,9,9,5,12,2,10
3,31,1889,0,50,50,3,3,3,5,4,1,8,10,5
3,31,1889,13,46,826,9,9,8,10,10,6,1,3,10
3,31,1889,1,20,80,3,3,2,4,4,12,7,9,5
3,31,1889,2,17,137,3,2,2,4,3,12,7,9,4
3,31,1889,13,33,813,9,9,8,10,10,6,1,3,11
12,24,1889,8,27,507,12,1,12,11,9,12,8,9,5
12,24,1889,0,40,40,3,4,4,3,1,4,11,1,8
12,24,1889,11,30,690,10,11,10,10,8,11,6,8,3
12,24,1889,13,43,823,9,10,9,8,7,9,5,7,2
12,24,1889,9,50,590,11,12,11,10,9,11,7,9,4
12,24,1889,12,38,758,9,10,10,9,7,10,6,7,2
12,24,1889,21,5,1265,5,6,5,5,3,6,1,3,10
12,24,1889,19,44,1184,6,7,6,5,4,6,2,4,11
12,24,1889,14,7,847,9,10,9,8,6,9,5,6,2
12,24,1889,17,11,1031,7,8,7,6,5,8,3,5,12
12,24,1889,0,7,7,4,4,4,3,1,4,12,1,9
12,24,1889,20,47,1247,5,6,6,5,3,6,1,3,10
10,19,1889,9,44,584,11,9,11,10,10,1,9,11,6
10,19,1889,1,38,98,3,12,3,2,2,5,1,3,10
10,19,1889,5,37,337,1,11,1,12,12,3,11,1,8
10,19,1889,1,37,97,3,1,3,2,2,5,1,3,10
10,19,1889,13,17,797,9,7,9,8,8,11,7,9,4
10,19,1889,7,39,459,12,10,12,11,11,2,10,12,7
10,19,1889,10,44,644,10,8,10,9,9,1,9,10,6
10,19,1889,10,55,655,10,8,10,9,9,1,9,10,6
10,19,1889,18,1,1081,7,5,6,6,5,9,5,6,2
10,19,1889,22,25,1345,4,3,4,4,3,7,3,4,12
10,19,1889,14,27,867,8,7,8,8,7,11,7,8,4
10,19,1889,11,34,694,10,8,10,9,9,12,8,10,5
5,11,1889,19,16,1156,6,10,7,6,7,2,9,11,7
5,11,1889,14,46,886,8,1,9,8,9,4,11,1,9
5,11,1889,11,7,667,10,2,11,10,10,6,1,3,10
5,11,1889,5,2,302,1,5,2,1,1,9,4,6,1
5,11,1889,23,35,1415,4,8,5,3,4,12,7,9,4
5,11,1889,13,18,798,9,1,10,9,9,5,12,2,9
5,11,1889,15,35,935,8,12,9,7,8,4,11,1,8
5,11,1889,7,49,469,12,4,12,11,12,7,3,5,12
5,11,1889,11,13,673,10,2,11,10,10,6,1,3,10
5,11,1889,11,14,674,10,2,11,10,10,6,1,3,10
5,11,1889,17,48,1068,7,11,8,6,7,3,10,12,7
5,11,1889,9,47,587,11,3,11,10,11,6,2,4,11
12,3,1889,6,6,366,1,5,1,12,11,2,10,11,7
12,3,1889,14,32,872,8,1,8,8,6,9,5,7,2
12,3,1889,20,22,1222,5,10,5,5,4,6,2,4,11
12,3,1889,6,5,365,1,5,1,12,11,2,10,11,7
12,3,1889,12,53,773,9,2,9,9,7,10,6,8,3
12,3,1889,13,23,803,9,1,9,8,7,10,6,7,3
12,3,1889,3,58,238,2,6,2,1,12,3,11,12,8
12,3,1889,1,29,89,3,7,3,2,1,4,12,1,9
12,3,1889,18,54,1134,6,11,6,5,4,7,3,5,12
12,3,1889,12,14,734,10,2,9,9,8,11,7,8,3
12,3,1889,8,51,531,11,4,11,11,9,1,8,10,5
12,3,1889,8,2,482,12,4,12,11,10,1,9,10,5
1,25,1889,12,30,750,10,7,10,11,11,8,4,6,1
1,25,1889,6,2,362,1,10,1,2,2,12,7,9,5
1,25,1889,1,11,71,3,12,4,5,4,2,10,12,7
1,25,1889,4,15,255,2,11,2,3,3,1,8,10,6
1,25,1889,21,3,1263,5,3,6,7,6,4,12,2,9
1,25,1889,18,57,1137,6,4,7,8,8,5,1,3,10
1,25,1889,22,57,1377,4,2,5,6,6,3,11,1,8
1,25,1889,2,54,174,2,11,3,4,4,1,9,11,6
1,25,1889,19,40,1180,6,3,6,7,7,5,12,2,10
1,25,1889,13,5,785,9,6,10,11,11,8,4,6,1
1,25,1889,11,0,660,10,7,11,12,12,9,5,7,2
1,25,1889,21,34,1294,5,2,6,7,6,4,11,2,9
6,14,1889,20,37,1237,6,12,6,4,6,12,7,9,5
6,14,1889,3,59,239,2,8,2,12,2,8,4,6,1
6,14,1889,3,9,189,2,8,2,1,2,9,4,6,1
6,14,1889,13,27,807,9,3,9,8,9,3,11,1,8
6,14,1889,0,27,27,4,10,4,2,4,10,6,7,3
6,14,1889,16,0,960,8,2,8,6,8,2,10,12,7
6,14,1889,15,49,949,8,2,8,7,8,2,10,12,7
6,14,1889,23,46,1426,4,11,4,2,4,10,6,8,3
6,14,1889,16,11,971,8,2,8,6,8,2,10,11,7
6,14,1889,8,56,536,11,5,11,10,11,6,1,3,11
6,14,1889,18,7,1087,7,1,7,5,7,1,9,11,6
6,14,1889,3,13,193,2,8,2,1,2,9,4,6,1
9,10,1889,16,8,968,8,2,8,7,7,11,7,9,4
9,10,1889,4,30,270,1,8,2,12,1,5,1,3,10
9,10,1889,3,20,200,2,8,3,1,1,5,1,3,10
9,10,1889,7,51,471,12,6,1,11,11,3,11,1,8
9,10,1889,9,45,585,11,5,12,10,10,2,10,12,7
9,10,1889,7,42,462,12,6,1,11,11,3,11,1,8
9,10,1889,14,50,890,8,3,9,7,8,12,8,9,5
9,10,1889,13,1,781,9,4,10,8,8,1,9,10,6
9,10,1889,5,6,306,1,7,2,12,12,4,12,2,10
9,10,1889,6,47,407,12,7,1,11,11,4,12,1,9
9,10,1889,4,2,242,2,8,2,12,1,5,1,3,10
9,10,1889,5,35,335,1,7,2,12,12,4,12,2,9
7,26,1889,13,57,837,9,8,8,7,9,2,9,11,7
7,26,1889,7,12,432,12,11,12,11,12,5,1,3,10
7,26,1889,22,3,1323,5,4,4,3,4,10,5,7,3
7,26,1889,2,13,133,3,2,2,1,2,7,3,5,12
7,26,1889,19,12,1152,6,6,6,5,6,11,7,9,4
7,26,1889,1,58,118,3,2,2,1,2,8,3,5,1
7,26,1889,5,26,326,1,12,12,11,1,6,2,3,11
7,26,1889,0,51,51,3,2,3,2,3,8,4,6,1
7,26,1889,23,17,1397,4,4,4,3,4,9,5,6,2
7,26,1889,3,31,211,2,1,1,12,2,7,3,4,12
7,26,1889,1,38,98,3,2,2,1,3,8,4,5,1
7,26,1889,7,6,426,12,11,12,11,12,5,1,3,10
8,4,1889,19,50,1190,6,9,6,4,6,10,6,8,3
8,4,1889,19,43,1183,6,9,6,4,6,10,6,8,4
8,4,1889,23,14,1394,4,7,4,3,4,9,5,6,2
8,4,1889,6,54,414,12,3,12,11,12,5,1,2,10
8,4,1889,20,54,1254,5,8,5,4,5,10,6,7,3
8,4,1889,9,29,569,11,2,11,10,11,4,11,1,9
8,4,1889,7,58,478,12,3,12,10,11,4,12,2,9
8,4,1889,19,37,1177,6,9,6,5,6,11,6,8,4
8,4,1889,1,42,102,3,5,3,1,2,7,3,5,12
8,4,1889,2,20,140,3,5,2,1,2,7,3,5,12
8,4,1889,19,48,1188,6,9,6,4,6,10,6,8,3
8,4,1889,17,10,1030,7,10,7,6,7,12,8,9,5
8,6,1889,3,6,186,2,6,2,1,2,7,3,4,12
8,6,1889,9,37,577,11,3,11,9,10,3,11,1,9
8,6,1889,6,22,382,12,4,12,11,12,5,1,3,10
8,6,1889,4,0,240,2,5,2,12,1,6,2,4,11
8,6,1889,11,22,682,10,2,10,9,10,3,10,12,8
8,6,1889,23,28,1408,4,8,4,2,4,8,4,6,1
8,6,1889,8,33,513,11,3,11,10,11,4,12,2,9
8,6,1889,1,50,110,3,6,3,1,2,7,3,5,12
8,6,1889,17,32,1052,7,11,7,6,7,12,7,9,5
8,6,1889,15,18,918,8,12,8,7,8,1,8,10,6
8,6,1889,13,44,824,9,1,9,8,9,1,9,11,7
8,6,1889,1,10,70,3,6,3,2,3,8,4,5,1
7,7,1889,1,32,92,3,6,2,1,3,9,4,6,1
7,7,1889,19,57,1197,6,9,5,4,6,11,7,9,4
7,7,1889,8,47,527,11,3,11,10,11,5,12,2,10
7,7,1889,13,47,827,9,12,8,7,9,2,10,12,8
7,7,1889,5,59,359,1,4,12,11,12,6,2,4,11
7,7,1889,20,2,1202,6,9,5,4,6,11,7,9,4
7,7,1889,11,44,704,10,1,9,8,10,3,11,1,8
7,7,1889,11,18,678,10,2,9,9,10,4,11,1,9
7,7,1889,10,7,607,11,2,10,9,10,4,12,2,9
7,7,1889,13,59,839,9,12,8,7,9,2,10,12,7
7,7,1889,14,33,873,9,12,8,7,8,2,10,12,7
7,7,1889,2,0,120,3,6,2,1,3,8,4,6,1
4,26,1889,10,10,610,11,9,11,11,11,7,2,4,11
4,26,1889,10,49,649,10,9,10,11,11,6,2,4,11
4,26,1889,22,47,1367,4,3,4,5,5,1,8,10,5
4,26,1889,12,29,749,10,8,10,10,10,6,1,3,10
4,26,1889,18,38,1118,7,5,7,7,7,3,10,12,7
4,26,1889,9,23,563,11,10,11,11,11,7,2,5,12
4,26,1889,2,4,124,3,1,3,3,3,11,6,8,4
4,26,1889,11,23,683,10,9,10,10,10,6,1,4,11
4,26,1889,21,14,1274,5,4,5,5,6,1,9,11,6
4,26,1889,17,38,1058,7,6,7,7,7,3,10,12,8
4,26,1889,22,2,1322,5,3,5,5,5,1,8,10,6
4,26,1889,22,3,1323,5,3,5,5,5,1,8,10,6
7,18,1889,21,55,1315,5,1,4,3,5,10,6,7,3
7,18,1889,1,1,61,3,11,3,2,3,8,4,6,1
7,18,1889,6,48,408,12,9,12,11,12,5,1,3,11
7,18,1889,17,42,1062,7,3,6,5,7,12,8,10,5
7,18,1889,8,4,484,12,8,11,10,11,5,12,2,10
7,18,1889,4,14,254,2,10,1,12,1,7,2,4,12
7,18,1889,1,23,83,3,11,2,1,3,8,4,6,1
7,18,1889,10,37,637,10,7,10,9,10,4,11,1,9
7,18,1889,14,53,893,8,5,8,7,8,2,9,11,7
7,18,1889,1,30,90,3,11,2,1,3,8,4,6,1
7,18,1889,2,19,139,3,11,2,1,2,8,3,5,1
7,18,1889,22,54,1374,4,1,4,3,4,9,5,7,2
3,31,1889,5,18,318,1,1,1,2,2,10,5,7,3
3,31,1889,17,43,1063,7,7,6,8,8,4,11,1,9
