Month,Day,Year,Hour,Minute,Time,Sun Sign,Moon Sign,Mercury Sign,Venus Sign,Mars Sign,Jupiter Sign,Saturn Sign,Uranus Sign,Neptune Sign
12,15,1852,10,40,640,9,11,10,8,10,9,2,2,12
12,15,1852,4,5,245,9,11,10,8,10,9,2,2,12
12,15,1852,14,54,894,9,11,10,8,10,9,2,2,12
12,15,1852,5,30,330,9,11,10,8,10,9,2,2,12
12,15,1852,10,38,638,9,11,10,8,10,9,2,2,12
12,15,1852,8,28,508,9,11,10,8,10,9,2,2,12
12,15,1852,21,1,1261,9,11,10,8,10,9,2,2,12
12,15,1852,21,47,1307,9,11,10,8,10,9,2,2,12
12,15,1852,3,39,219,9,11,10,8,10,9,2,2,12
12,15,1852,4,4,244,9,11,10,8,10,9,2,2,12
12,15,1852,3,18,198,9,11,10,8,10,9,2,2,12
12,15,1852,5,25,325,9,11,10,8,10,9,2,2,12
1,3,1852,17,22,1042,10,2,10,11,5,8,1,2,12
1,3,1852,3,56,236,10,2,10,11,5,8,1,2,12
1,3,1852,21,6,1266,10,2,10,11,5,8,1,2,12
1,3,1852,12,21,741,10,2,10,11,5,8,1,2,12
1,3,1852,11,40,700,10,2,10,11,5,8,1,2,12
1,3,1852,8,32,512,10,2,10,11,5,8,1,2,12
1,3,1852,13,48,828,10,2,10,11,5,8,1,2,12
1,3,1852,15,0,900,10,2,10,11,5,8,1,2,12
1,3,1852,3,9,189,10,2,10,11,5,8,1,2,12
1,3,1852,2,37,157,10,2,10,11,5,8,1,2,12
1,3,1852,17,30,1050,10,2,10,11,5,8,1,2,12
1,3,1852,9,7,547,10,2,10,11,5,8,1,2,12
9,19,1852,15,31,931,6,9,6,5,8,8,2,2,12
9,19,1852,18,1,1081,6,9,6,5,8,8,2,2,12
9,19,1852,15,8,908,6,9,6,5,8,8,2,2,12
9,19,1852,1,8,68,6,9,6,5,8,8,2,2,12
9,19,1852,0,50,50,6,9,6,5,8,8,2,2,12
9,19,1852,14,18,858,6,9,6,5,8,8,2,2,12
9,19,1852,18,29,1109,6,9,6,5,8,8,2,2,12
9,19,1852,16,23,983,6,9,6,5,8,8,2,2,12
9,19,1852,20,46,1246,6,9,6,5,8,8,2,2,12
9,19,1852,16,2,962,6,9,6,5,8,8,2,2,12
9,19,1852,20,12,1212,6,9,6,5,8,8,2,2,12
9,19,1852,21,42,1302,6,9,6,5,8,8,2,2,12
6,27,1852,15,31,931,4,8,4,5,6,8,2,2,12
6,27,1852,7,27,447,4,8,4,5,6,8,2,2,12
6,27,1852,17,0,1020,4,8,4,5,6,8,2,2,12
6,27,1852,16,46,1006,4,8,4,5,6,8,2,2,12
6,27,1852,19,9,1149,4,8,4,5,6,8,2,2,12
6,27,1852,15,56,956,4,8,4,5,6,8,2,2,12
6,27,1852,22,39,1359,4,8,4,5,6,8,2,2,12
6,27,1852,0,45,45,4,8,4,5,6,8,2,2,12
6,27,1852,19,36,1176,4,8,4,5,6,8,2,2,12
6,27,1852,19,25,1165,4,8,4,5,6,8,2,2,12
6,27,1852,1,2,62,4,8,4,5,6,8,2,2,12
6,27,1852,14,56,896,4,8,4,5,6,8,2,2,12
1,17,1852,6,1,361,10,9,10,11,5,8,1,2,12
1,17,1852,4,50,290,10,9,10,11,5,8,1,2,12
1,17,1852,1,52,112,10,9,10,11,5,8,1,2,12
1,17,1852,6,38,398,10,9,10,11,5,8,1,2,12
1,17,1852,17,47,1067,10,9,10,11,5,8,1,2,12
1,17,1852,5,22,322,10,9,10,11,5,8,1,2,12
1,17,1852,23,12,1392,10,9,10,11,5,8,1,2,12
1,17,1852,11,49,709,10,9,10,11,5,8,1,2,12
1,17,1852,12,6,726,10,9,10,11,5,8,1,2,12
1,17,1852,3,0,180,10,9,10,11,5,8,1,2,12
1,17,1852,7,3,423,10,9,10,11,5,8,1,2,12
1,17,1852,19,42,1182,10,9,10,11,5,8,1,2,12
8,12,1852,13,55,835,5,4,6,4,7,8,2,2,12
8,12,1852,17,38,1058,5,4,6,4,7,8,2,2,12
8,12,1852,3,51,231,5,4,6,4,7,8,2,2,12
