CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS
0,1,1,0,427500.0,3,0,0,-12005,-4542,2.0
0,1,1,0,112500.0,1,1,1,-21474,-1134,2.0
1,0,1,0,270000.0,1,2,1,-19110,-3051,1.0
1,0,1,0,283500.0,3,3,1,-22464,365243,1.0
0,1,1,0,270000.0,3,1,1,-16872,-769,2.0
0,1,1,0,135000.0,1,1,1,-17778,-1194,2.0
1,1,0,0,130500.0,2,1,1,-10669,-1103,2.0
1,0,1,0,157500.0,1,1,1,-10031,-1469,2.0
1,0,1,1,112500.0,1,2,1,-10968,-1620,2.0
0,1,1,3,270000.0,1,1,1,-12689,-1163,5.0
0,0,1,1,405000.0,3,1,1,-11842,-2016,3.0
0,1,1,0,112500.0,1,1,1,-20502,-4450,2.0
1,1,1,2,135000.0,1,1,1,-15761,-3173,4.0
1,0,1,1,211500.0,1,0,1,-16212,-7099,3.0
0,1,1,0,360000.0,1,1,1,-16670,-5364,2.0
1,0,1,2,126000.0,3,1,1,-12411,-1773,4.0
1,0,1,0,315000.0,1,4,1,-20186,365243,1.0
1,0,1,0,247500.0,3,3,0,-17016,-1347,1.0
1,0,1,0,297000.0,1,2,0,-15519,-3234,1.0
1,0,0,0,157500.0,3,1,1,-13642,-4846,2.0
0,0,1,0,135000.0,1,1,1,-15484,-1408,2.0
0,0,1,1,225000.0,1,1,1,-10321,-2808,3.0
1,1,1,0,135000.0,1,1,1,-17785,-1712,2.0
0,0,1,0,157500.0,1,1,1,-16027,-889,2.0
1,0,1,0,112500.0,1,1,1,-22319,365243,2.0
0,1,1,0,112500.0,1,1,1,-20874,-2381,2.0
1,1,1,0,270000.0,1,3,1,-16582,-1194,1.0
1,1,1,0,270000.0,3,1,1,-10628,-828,2.0
0,1,1,0,157500.0,1,1,1,-9927,-828,2.0
0,0,1,0,166500.0,1,1,1,-18926,-6276,2.0
1,0,1,2,216000.0,3,1,1,-15444,-3112,4.0
1,1,1,0,270000.0,1,1,1,-19861,-10843,2.0
1,1,1,0,225000.0,1,1,1,-14450,-2777,2.0
1,0,1,0,315000.0,1,2,1,-10554,-1194,1.0
1,0,0,0,255150.0,2,0,0,-18682,365243,2.0
1,0,1,2,157500.0,1,2,1,-14326,-555,3.0
1,0,1,0,148500.0,3,1,1,-17641,-889,2.0
1,0,1,2,202500.0,3,1,1,-10997,-2289,4.0
0,0,1,0,202500.0,1,2,1,-8861,-889,1.0
1,1,1,0,112500.0,1,2,1,-7489,-797,1.0
1,0,1,0,94500.0,3,1,1,-22331,365243,2.0
0,1,1,0,315000.0,1,0,1,-10450,-2077,2.0
1,1,1,0,270000.0,2,0,2,-10264,-3173,2.0
1,1,1,1,450000.0,3,1,1,-17726,-708,3.0
0,0,1,1,180000.0,1,1,3,-14122,-1286,3.0
1,0,1,0,112500.0,3,0,1,-10064,-3173,2.0
0,0,1,0,90000.0,1,1,1,-20531,-5730,2.0
0,1,0,2,202500.0,3,1,1,-14730,-2989,4.0
0,1,1,0,247500.0,1,1,1,-12628,-4025,2.0
0,1,1,1,765000.0,3,1,1,-12197,-1194,3.0
1,0,1,1,270000.0,1,1,1,-13679,-4391,3.0
1,0,1,0,315000.0,3,3,1,-13271,-555,1.0
0,1,1,2,157500.0,1,1,3,-12859,-4056,4.0
0,0,1,0,360000.0,1,1,1,-15321,-2747,2.0
1,0,1,0,112500.0,3,1,1,-8842,-312,2.0
1,0,0,0,157500.0,3,3,3,-15737,-432,1.0
0,0,1,0,382500.0,1,4,1,-21673,365243,1.0
1,0,0,0,135000.0,1,0,1,-9657,-1560,2.0
0,1,0,0,225000.0,1,0,1,-18289,365243,2.0
0,1,0,0,315000.0,3,1,1,-15825,-3720,2.0
1,0,0,0,180000.0,1,1,1,-19575,-2901,2.0
1,0,0,0,157500.0,1,1,1,-12915,-3174,2.0
1,1,0,0,144000.0,1,1,1,-22877,365243,2.0
0,1,0,0,229500.0,2,1,4,-18325,-1256,2.0
1,0,0,0,270000.0,3,1,1,-17573,-5792,2.0
1,0,0,0,292500.0,1,1,1,-20953,-8684,2.0
1,0,0,0,270000.0,3,1,1,-12333,-860,2.0
1,1,0,0,225000.0,1,1,1,-14667,-798,2.0
0,1,0,0,157500.0,2,1,3,-10611,-982,2.0
1,0,0,0,74250.0,3,3,2,-19082,-5243,1.0
1,0,0,0,135000.0,1,1,1,-14201,-2139,2.0
0,1,0,1,135000.0,1,1,1,-9957,-921,3.0
1,0,0,0,144000.0,1,2,1,-15970,-8987,1.0
1,0,0,0,202500.0,3,1,3,-14562,-1287,2.0
1,0,0,0,40500.0,1,2,1,-21091,365243,1.0
0,1,0,0,337500.0,3,1,3,-10266,-1652,2.0
0,0,0,0,180000.0,1,1,2,-14781,-2443,2.0
1,0,0,0,130500.0,1,0,1,-15140,-4816,2.0
1,0,0,0,144000.0,1,1,1,-21041,365243,2.0
1,0,0,0,193500.0,1,2,2,-16099,-1866,1.0
1,0,0,0,112500.0,1,4,1,-22061,365243,1.0
1,1,0,0,135000.0,1,1,1,-20140,365243,2.0
0,1,0,0,267750.0,3,1,1,-20991,-4727,2.0
1,0,0,0,139500.0,3,3,1,-16203,-7100,1.0
0,0,0,0,67500.0,1,1,1,-18674,-5304,2.0
0,1,0,0,252000.0,1,1,1,-10750,-2443,2.0
0,0,0,0,180000.0,0,1,1,-21155,-130,2.0
1,0,0,0,135000.0,1,1,1,-19692,-5273,2.0
1,1,0,0,900000.0,3,2,1,-19063,-7404,1.0
0,1,0,0,180000.0,3,0,1,-14867,-586,2.0
0,1,0,0,115290.0,1,1,1,-23187,365243,2.0
